支付宝交易记录明细查询
账号:[aside99@sina.cn]
起始日期:[2025-09-19 00:00:00]    终止日期:[2025-12-19 15:22:53]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2025121922001485951400129029_INP25121915180719040604964366040	,2001052512190103141235336961	,2025-12-19 15:18:11 ,                    ,2025-12-19 15:18:11 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音电商商家          ,退款-抖音电商-订单编号6949121297499690064,15.00   ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2025121922001485951400129029	,2001052512190103141235336961	,2025-12-19 15:16:31 ,2025-12-19 15:16:31 ,2025-12-19 15:18:11 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音电商商家          ,抖音电商-订单编号6949121297499690064,15.00   ,支出      ,交易关闭    ,0.00     ,15.00    ,                    ,已支出      ,
2025121922001485951455592401	,P18M6666031251219128358945875	,2025-12-19 12:35:27 ,2025-12-19 12:35:28 ,2025-12-19 12:35:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杭州盒马            ,百事可乐 汽水 清柠味 500ml   ,2.90    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121922001485951457705199	,17661170921502745085952	,2025-12-19 12:04:52 ,2025-12-19 12:04:57 ,2025-12-19 12:04:57 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,兰州牛肉面           ,收钱码收款               ,20.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121922001485951450571075	,0003N202512190000000013606950056	,2025-12-19 08:50:19 ,2025-12-19 08:50:22 ,2025-12-19 08:50:22 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德打车            ,高德打车订单              ,16.53   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951455758442	,XP1625121820201173301638007210	,2025-12-18 20:44:36 ,2025-12-18 20:44:37 ,2025-12-18 20:44:37 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP1625121820201173301638007210,23.60   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951455562302	,XP1725121820201173095588006552	,2025-12-18 20:37:07 ,2025-12-18 20:37:08 ,2025-12-18 20:37:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP1725121820201173095588006552,39.17   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951452570020	,20251218016000001309548817502766	,2025-12-18 19:38:47 ,2025-12-18 19:38:51 ,2025-12-18 19:38:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,爷爷不泡茶           ,【爷爷不泡茶】黑巧鲜奶厚吐司      ,0.01    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951453171952	,20251218016000001309561217497265	,2025-12-18 19:36:29 ,2025-12-18 19:36:37 ,2025-12-18 19:36:37 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,蜜雪冰城            ,【蜜雪冰城】棒打鲜橙6元券       ,0.30    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951455553639	,0003N202512180000000013663248927	,2025-12-18 18:22:05 ,2025-12-18 18:22:08 ,2025-12-18 18:22:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德打车            ,高德打车订单              ,13.94   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951451402145	,73126600004928000020251218000000101361536643000128	,2025-12-18 12:03:50 ,2025-12-18 12:03:51 ,2025-12-18 12:03:50 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,晓鲍佳海鲜馄饨         ,晓鲍佳馄饨（夹城巷店）订单       ,20.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951450708647	,0003N202512180000000013631969544	,2025-12-18 08:59:32 ,2025-12-18 08:59:36 ,2025-12-18 08:59:36 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德打车            ,高德打车订单              ,15.71   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121822001485951447493314	,XP2125121808200659839879007846	,2025-12-18 08:38:02 ,2025-12-18 08:38:03 ,2025-12-18 08:38:03 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP2125121808200659839879007846,13.20   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121722001485951449906478	,2001052512170103140250976961	,2025-12-17 20:43:16 ,2025-12-17 20:43:17 ,2025-12-17 20:43:17 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音电商商家          ,抖音电商-订单编号6949058187130901584,109.02  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121722001485951441180779	,0003N202512170000000013588918091	,2025-12-17 18:02:05 ,2025-12-17 18:02:08 ,2025-12-17 18:02:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德打车            ,高德打车订单              ,14.20   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121722001485951450561441	,217659595364714320337	,2025-12-17 16:18:57 ,2025-12-17 16:18:57 ,2025-12-17 16:18:57 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京瓦力网络科技有限公司    ,米家云存储服务             ,9.90    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121723001485951447567240	,0003N202512170000000013617987737	,2025-12-17 08:55:25 ,2025-12-17 08:55:28 ,2025-12-17 08:55:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德打车            ,高德打车订单              ,13.83   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121622001485951442919590	,DD3307463720251216000020	,2025-12-16 17:49:23 ,2025-12-16 17:49:24 ,2025-12-16 17:49:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杭州运河文旅          ,停车费用-富义仓停车场-浙A2M6X2 ,30.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121522001485951440552957	,XP1625121521201970203388008141	,2025-12-15 21:36:54 ,2025-12-15 21:36:55 ,2025-12-15 21:36:55 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,拼多多平台商户         ,商户单号XP1625121521201970203388008141,8.65    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121523001485951438659180	,0003N202512150000000013601547576	,2025-12-15 20:40:52 ,2025-12-15 20:40:56 ,2025-12-15 20:40:56 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,高德打车            ,高德打车订单              ,12.93   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121523001485951438436811	,1212660000482200007895089632774019	,2025-12-15 17:41:39 ,2025-12-15 17:41:40 ,2025-12-15 17:41:40 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,豫杭滋补烩面          ,豫杭滋补烩面杭州湖墅南路店       ,18.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2025121523001485951438019172	,P18M6666031251215020010945875	,2025-12-15 09:35:25 ,2025-12-15 09:35:27 ,2025-12-15 09:35:27 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杭州盒马            ,盒马 牛乳纸面巾便携装 40抽等3类商品,25.30   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
